Account_No,Reps,Sets,Time,Exercise_ID
1300,8,1,10/11/2015 17:10,10
1239,8,1,10/11/2015 17:10,10
1400,12,1,10/11/2015 17:10,10
1237,12,1,10/11/2015 17:10,13
1401,10,1,10/11/2015 17:10,13
1237,14,1,10/11/2015 17:10,13
1300,12,1,10/11/2015 17:10,12
1391,10,1,10/11/2015 17:10,12
1239,10,1,10/11/2015 17:10,12
1300,12,1,10/11/2015 17:10,12
1239,15,1,10/11/2015 17:10,16
1235,15,1,10/11/2015 17:10,16
1300,10,1,12/11/2015 18:24,21
1300,10,1,12/11/2015 18:24,21
1239,10,1,12/11/2015 18:24,21
1400,10,1,12/11/2015 18:24,21
1400,10,1,12/11/2015 18:24,21
1300,10,1,12/11/2015 18:24,21
1237,12,1,12/11/2015 18:24,22
1391,15,1,12/11/2015 18:24,22
1400,10,1,12/11/2015 18:24,2
1391,10,1,12/11/2015 18:24,2
1239,10,1,12/11/2015 18:24,2
1235,10,1,12/11/2015 18:24,2
1300,10,1,12/11/2015 18:24,2
1391,10,1,12/11/2015 18:24,23
1300,10,1,12/11/2015 18:24,23
1298,10,1,12/11/2015 18:24,23
1239,10,1,12/11/2015 18:24,23
1298,10,1,12/11/2015 18:24,23
1298,10,1,12/11/2015 18:24,23
1239,12,1,12/11/2015 18:24,24
1401,15,1,12/11/2015 18:24,24
1300,10,1,12/11/2015 18:24,2
1239,10,1,12/11/2015 18:24,2
1200,10,1,12/11/2015 18:24,2
1300,10,1,12/11/2015 18:24,2
1697,10,1,12/11/2015 18:24,2
1239,6,1,15/11/2015 11:30,7
1400,8,1,15/11/2015 11:30,7
1400,8,1,15/11/2015 11:30,7
1300,8,1,15/11/2015 11:30,7
1237,8,1,15/11/2015 11:30,7
1391,8,1,15/11/2015 11:30,7
1298,8,1,15/11/2015 11:30,7
1391,8,1,15/11/2015 11:30,7
1300,12,1,15/11/2015 11:30,8
1300,12,1,15/11/2015 11:30,8
1391,12,1,15/11/2015 11:30,8
1298,6,1,15/11/2015 11:30,4
1239,8,1,15/11/2015 11:30,4
1239,8,1,15/11/2015 11:30,4
1298,8,1,15/11/2015 11:30,4
1391,8,1,15/11/2015 11:30,4
1300,8,1,15/11/2015 11:30,4
1239,8,1,15/11/2015 11:30,4
1298,8,1,15/11/2015 11:30,4
1239,12,1,15/11/2015 11:30,5
1300,12,1,15/11/2015 11:30,5
1298,12,1,15/11/2015 11:30,5
1391,10,1,16/11/2015 18:10,10
1238,8,1,16/11/2015 18:10,10
1300,9,1,16/11/2015 18:10,10
1400,12,1,16/11/2015 18:10,10
1239,8,1,16/11/2015 18:10,10
1391,10,1,16/11/2015 18:10,12
1300,10,1,16/11/2015 18:10,12
1300,8,1,16/11/2015 18:10,12
1239,13,1,16/11/2015 18:10,25
1300,15,1,16/11/2015 18:10,25
1298,12,1,16/11/2015 18:10,26
1238,10,1,16/11/2015 18:10,26
1298,10,1,16/11/2015 18:10,26
1239,12,1,16/11/2015 18:10,26
1400,10,1,16/11/2015 18:10,10
1200,8,1,16/11/2015 18:10,10
1300,9,1,16/11/2015 18:10,10
1300,12,1,16/11/2015 18:10,10
1235,8,1,16/11/2015 18:10,10
1391,10,1,16/11/2015 18:10,14
1235,10,1,16/11/2015 18:10,14
1300,8,1,16/11/2015 18:10,14
1298,13,1,16/11/2015 18:10,27
1300,15,1,16/11/2015 18:10,27
1238,12,1,16/11/2015 18:10,26
1239,10,1,16/11/2015 18:10,26
1391,10,1,16/11/2015 18:10,26
1298,12,1,16/11/2015 18:10,26
1300,8,1,18/11/2015 17:33,1
1401,8,1,18/11/2015 17:33,1
1300,8,1,18/11/2015 17:33,1
1300,8,1,18/11/2015 17:33,1
1298,8,1,18/11/2015 17:33,1
1238,11,1,18/11/2015 17:33,28
1200,10,1,18/11/2015 17:33,2
1401,14,1,18/11/2015 17:33,2
1391,12,1,18/11/2015 17:33,2
1238,12,1,18/11/2015 17:33,2
1300,12,1,18/11/2015 17:33,24
1391,12,1,18/11/2015 17:33,24
1238,12,1,18/11/2015 17:33,24
1298,15,1,18/11/2015 17:33,29
1298,15,1,18/11/2015 17:33,29
1400,8,1,18/11/2015 17:33,3
1298,8,1,18/11/2015 17:33,3
1239,8,1,18/11/2015 17:33,3
1298,8,1,18/11/2015 17:33,3
1237,8,1,18/11/2015 17:33,3
1235,11,1,18/11/2015 17:33,28
1298,10,1,18/11/2015 17:33,2
1239,14,1,18/11/2015 17:33,2
1391,12,1,18/11/2015 17:33,2
1400,12,1,18/11/2015 17:33,2
1238,12,1,18/11/2015 17:33,22
1238,12,1,18/11/2015 17:33,22
1238,12,1,18/11/2015 17:33,22
1238,15,1,18/11/2015 17:33,29
1300,15,1,18/11/2015 17:33,29
1238,12,1,21/11/2015 18:32,10
1239,12,1,21/11/2015 18:32,10
1237,12,1,21/11/2015 18:32,10
1298,12,1,21/11/2015 18:32,10
1239,16,1,21/11/2015 18:32,14
1300,22,1,21/11/2015 18:32,14
1298,12,1,21/11/2015 18:32,14
1400,12,1,21/11/2015 18:32,14
1400,13,1,21/11/2015 18:32,27
1239,12,1,21/11/2015 18:32,27
1298,12,1,21/11/2015 18:32,27
1300,15,1,21/11/2015 18:32,13
1300,15,1,21/11/2015 18:32,13
1238,15,1,21/11/2015 18:32,13
1238,12,1,21/11/2015 18:32,10
1298,12,1,21/11/2015 18:32,10
1239,12,1,21/11/2015 18:32,10
1300,12,1,21/11/2015 18:32,10
1298,16,1,21/11/2015 18:32,12
1401,22,1,21/11/2015 18:32,12
1300,12,1,21/11/2015 18:32,12
1237,12,1,21/11/2015 18:32,12
1298,13,1,21/11/2015 18:32,25
1391,12,1,21/11/2015 18:32,25
1298,12,1,21/11/2015 18:32,25
1298,15,1,21/11/2015 18:32,13
1237,15,1,21/11/2015 18:32,13
1235,15,1,21/11/2015 18:32,13
1238,10,1,24/11/2015 16:45,23
1300,12,1,24/11/2015 16:45,23
1239,12,1,24/11/2015 16:45,23
1300,10,1,24/11/2015 16:45,23
1239,10,1,24/11/2015 16:45,2
1239,10,1,24/11/2015 16:45,2
1391,10,1,24/11/2015 16:45,2
1200,10,1,24/11/2015 16:45,2
1300,10,1,24/11/2015 16:45,2
1298,8,1,24/11/2015 16:45,2
1391,10,1,24/11/2015 16:45,19
1235,12,1,24/11/2015 16:45,19
1300,10,1,24/11/2015 16:45,1
1238,10,1,24/11/2015 16:45,21
1237,12,1,24/11/2015 16:45,21
1391,12,1,24/11/2015 16:45,21
1239,10,1,24/11/2015 16:45,21
1298,10,1,24/11/2015 16:45,2
1300,10,1,24/11/2015 16:45,2
1298,10,1,24/11/2015 16:45,2
1391,10,1,24/11/2015 16:45,2
1300,10,1,24/11/2015 16:45,2
1235,8,1,24/11/2015 16:45,2
1237,10,1,24/11/2015 16:45,18
1298,12,1,24/11/2015 16:45,18
1238,10,1,24/11/2015 16:45,3
1239,8,1,25/11/2015 18:53,7
1238,8,1,25/11/2015 18:53,7
1391,8,1,25/11/2015 18:53,7
1239,8,1,25/11/2015 18:53,7
1237,8,1,25/11/2015 18:53,7
1300,9,1,25/11/2015 18:53,7
1237,8,1,25/11/2015 18:53,7
1400,8,1,25/11/2015 18:53,7
1400,8,1,25/11/2015 18:53,4
1298,8,1,25/11/2015 18:53,4
1300,8,1,25/11/2015 18:53,4
1400,8,1,25/11/2015 18:53,4
1237,8,1,25/11/2015 18:53,4
1237,9,1,25/11/2015 18:53,4
1235,8,1,25/11/2015 18:53,4
1298,8,1,25/11/2015 18:53,4
1300,8,1,26/11/2015 11:43,10
1237,8,1,26/11/2015 11:43,10
1391,8,1,26/11/2015 11:43,10
1239,10,1,26/11/2015 11:43,10
1235,10,1,26/11/2015 11:43,10
1239,10,1,26/11/2015 11:43,14
1391,10,1,26/11/2015 11:43,14
1235,10,1,26/11/2015 11:43,14
1300,10,1,26/11/2015 11:43,14
1239,10,1,26/11/2015 11:43,14
1239,10,1,26/11/2015 11:43,13
1300,10,1,26/11/2015 11:43,13
1298,10,1,26/11/2015 11:43,11
1298,10,1,26/11/2015 11:43,11
1298,8,1,26/11/2015 11:43,10
1239,8,1,26/11/2015 11:43,10
1238,8,1,26/11/2015 11:43,10
1237,10,1,26/11/2015 11:43,10
1298,10,1,26/11/2015 11:43,10
1239,10,1,26/11/2015 11:43,12
1239,10,1,26/11/2015 11:43,12
1391,10,1,26/11/2015 11:43,12
1239,10,1,26/11/2015 11:43,12
1400,10,1,26/11/2015 11:43,12
1298,10,1,26/11/2015 11:43,13
1237,10,1,26/11/2015 11:43,13
1400,10,1,26/11/2015 11:43,11
1298,10,1,26/11/2015 11:43,11
1298,8,1,28/11/2015 16:28,3
1697,8,1,28/11/2015 16:28,3
1300,7,1,28/11/2015 16:28,3
1391,8,1,28/11/2015 16:28,3
1239,8,1,28/11/2015 16:28,3
1391,8,1,28/11/2015 16:28,3
1298,8,1,28/11/2015 16:28,3
1298,12,1,28/11/2015 16:28,2
1239,12,1,28/11/2015 16:28,2
1238,12,1,28/11/2015 16:28,2
1239,12,1,28/11/2015 16:28,2
1238,12,1,28/11/2015 16:28,22
1235,12,1,28/11/2015 16:28,22
1298,12,1,28/11/2015 16:28,22
1298,10,1,28/11/2015 16:28,30
1238,10,1,28/11/2015 16:28,30
1239,8,1,28/11/2015 16:28,1
1298,8,1,28/11/2015 16:28,1
1300,7,1,28/11/2015 16:28,1
1298,8,1,28/11/2015 16:28,1
1391,8,1,28/11/2015 16:28,1
1400,8,1,28/11/2015 16:28,1
1300,8,1,28/11/2015 16:28,1
1238,12,1,28/11/2015 16:28,2
1697,12,1,28/11/2015 16:28,2
1239,12,1,28/11/2015 16:28,2
1238,12,1,28/11/2015 16:28,2
1300,12,1,28/11/2015 16:28,24
1298,12,1,28/11/2015 16:28,24
1238,12,1,28/11/2015 16:28,24
1298,10,1,28/11/2015 16:28,30
1391,10,1,28/11/2015 16:28,30
1239,12,1,30/11/2015 14:23,10
1298,12,1,30/11/2015 14:23,10
1391,12,1,30/11/2015 14:23,10
1298,12,1,30/11/2015 14:23,10
1300,8,1,30/11/2015 14:23,10
1239,10,1,30/11/2015 14:23,14
1400,10,1,30/11/2015 14:23,14
1238,10,1,30/11/2015 14:23,14
1239,10,1,30/11/2015 14:23,14
1298,13,1,30/11/2015 14:23,13
1300,14,1,30/11/2015 14:23,13
1239,12,1,30/11/2015 14:23,13
1237,12,1,30/11/2015 14:23,27
1239,12,1,30/11/2015 14:23,27
1400,12,1,30/11/2015 14:23,10
1298,12,1,30/11/2015 14:23,10
1391,12,1,30/11/2015 14:23,10
1298,12,1,30/11/2015 14:23,10
1400,8,1,30/11/2015 14:23,10
1237,10,1,30/11/2015 14:23,12
1237,10,1,30/11/2015 14:23,12
1237,10,1,30/11/2015 14:23,12
1300,10,1,30/11/2015 14:23,12
1298,13,1,30/11/2015 14:23,13
1239,14,1,30/11/2015 14:23,13
1239,12,1,30/11/2015 14:23,13
1391,12,1,30/11/2015 14:23,25
1400,12,1,30/11/2015 14:23,25
1400,8,1,02/12/2015 17:13,3
1238,5,1,02/12/2015 17:13,3
1400,5,1,02/12/2015 17:13,3
1298,6,1,02/12/2015 17:13,3
1239,8,1,02/12/2015 17:13,3
1239,8,1,02/12/2015 17:13,3
1238,8,1,02/12/2015 17:13,3
1298,10,1,02/12/2015 17:13,2
1237,10,1,02/12/2015 17:13,2
1237,10,1,02/12/2015 17:13,2
1298,10,1,02/12/2015 17:13,22
1238,10,1,02/12/2015 17:13,22
1391,8,1,02/12/2015 17:13,1
1239,5,1,02/12/2015 17:13,1
1391,5,1,02/12/2015 17:13,1
1400,6,1,02/12/2015 17:13,1
1391,8,1,02/12/2015 17:13,1
1697,8,1,02/12/2015 17:13,1
1300,8,1,02/12/2015 17:13,1
1391,10,1,02/12/2015 17:13,2
1400,10,1,02/12/2015 17:13,2
1300,10,1,02/12/2015 17:13,2
1298,10,1,02/12/2015 17:13,24
1300,10,1,02/12/2015 17:13,24
1300,6,1,02/12/2015 17:35,4
1300,8,1,02/12/2015 17:35,4
1300,8,1,02/12/2015 17:35,4
1235,8,1,02/12/2015 17:35,4
1298,8,1,02/12/2015 17:35,4
1300,8,1,02/12/2015 17:35,4
1298,6,1,02/12/2015 17:35,4
1400,6,1,02/12/2015 17:35,4
1300,6,1,02/12/2015 17:35,7
1400,8,1,02/12/2015 17:35,7
1391,8,1,02/12/2015 17:35,7
1239,8,1,02/12/2015 17:35,7
1298,8,1,02/12/2015 17:35,7
1401,8,1,02/12/2015 17:35,7
1298,6,1,02/12/2015 17:35,7
1238,6,1,02/12/2015 17:35,7
1300,14,1,04/12/2015 14:01,10
1400,13,1,04/12/2015 14:01,10
1300,12,1,04/12/2015 14:01,10
1391,9,1,04/12/2015 14:01,10
1239,12,1,04/12/2015 14:01,31
1401,12,1,04/12/2015 14:01,31
1300,12,1,04/12/2015 14:01,31
1238,9,1,04/12/2015 14:01,11
1235,14,1,04/12/2015 14:01,13
1401,15,1,04/12/2015 14:01,13
1300,12,1,04/12/2015 14:01,13
1238,12,1,04/12/2015 14:01,27
1401,12,1,04/12/2015 14:01,27
1391,14,1,04/12/2015 14:01,27
1298,14,1,04/12/2015 14:01,10
1400,13,1,04/12/2015 14:01,10
1239,12,1,04/12/2015 14:01,10
1239,9,1,04/12/2015 14:01,10
1238,12,1,04/12/2015 14:01,31
1239,12,1,04/12/2015 14:01,31
1298,12,1,04/12/2015 14:01,31
1300,9,1,04/12/2015 14:01,11
1238,14,1,04/12/2015 14:01,13
1401,15,1,04/12/2015 14:01,13
1239,12,1,04/12/2015 14:01,13
1238,12,1,04/12/2015 14:01,25
1238,12,1,04/12/2015 14:01,25
1400,14,1,04/12/2015 14:01,25
1239,8,1,06/12/2015 10:53,3
1391,5,1,06/12/2015 10:53,3
1391,6,1,06/12/2015 10:53,3
1400,6,1,06/12/2015 10:53,3
1239,6,1,06/12/2015 10:53,3
1239,6,1,06/12/2015 10:53,3
1300,6,1,06/12/2015 10:53,3
1238,12,1,06/12/2015 10:53,3
1300,12,1,06/12/2015 10:53,18
1400,10,1,06/12/2015 10:53,18
1238,10,1,06/12/2015 10:53,18
1400,10,1,06/12/2015 10:53,2
1400,8,1,06/12/2015 10:53,1
1391,5,1,06/12/2015 10:53,1
1300,6,1,06/12/2015 10:53,1
1300,6,1,06/12/2015 10:53,1
1391,6,1,06/12/2015 10:53,1
123,6,1,06/12/2015 10:53,1
1235,6,1,06/12/2015 10:53,1
1239,12,1,06/12/2015 10:53,1
1239,12,1,06/12/2015 10:53,19
1239,10,1,06/12/2015 10:53,19
1391,10,1,06/12/2015 10:53,19
1239,10,1,06/12/2015 10:53,2
1239,6,1,07/12/2015 19:37,4
1300,6,1,07/12/2015 19:37,4
1300,6,1,07/12/2015 19:37,4
1239,6,1,07/12/2015 19:37,4
1391,6,1,07/12/2015 19:37,4
1298,6,1,07/12/2015 19:37,4
1239,6,1,07/12/2015 19:37,4
1298,6,1,07/12/2015 19:37,4
1238,10,1,07/12/2015 19:37,6
1300,10,1,07/12/2015 19:37,6
1401,10,1,07/12/2015 19:37,6
123,10,1,07/12/2015 19:37,5
1298,10,1,07/12/2015 19:37,5
1238,10,1,07/12/2015 19:37,5
1238,6,1,07/12/2015 19:37,7
1400,6,1,07/12/2015 19:37,7
1238,6,1,07/12/2015 19:37,7
1298,6,1,07/12/2015 19:37,7
1298,6,1,07/12/2015 19:37,7
1298,6,1,07/12/2015 19:37,7
1391,6,1,07/12/2015 19:37,7
1298,6,1,07/12/2015 19:37,7
1239,10,1,07/12/2015 19:37,9
1298,10,1,07/12/2015 19:37,9
1239,10,1,07/12/2015 19:37,9
1298,10,1,07/12/2015 19:37,8
1298,10,1,07/12/2015 19:37,8
1391,10,1,07/12/2015 19:37,8
1391,8,1,09/12/2015 12:44,10
1300,8,1,09/12/2015 12:44,10
1239,8,1,09/12/2015 12:44,10
1300,10,1,09/12/2015 12:44,10
1239,10,1,09/12/2015 12:44,10
1400,10,1,09/12/2015 12:44,12
1239,10,1,09/12/2015 12:44,12
1391,10,1,09/12/2015 12:44,11
1239,10,1,09/12/2015 12:44,11
1391,10,1,09/12/2015 12:44,11
1391,12,1,09/12/2015 12:44,25
1239,12,1,09/12/2015 12:44,25
1391,12,1,09/12/2015 12:44,13
1391,12,1,09/12/2015 12:44,13
1238,12,1,09/12/2015 12:44,13
1239,8,1,09/12/2015 12:44,10
1298,8,1,09/12/2015 12:44,10
1298,8,1,09/12/2015 12:44,10
1239,10,1,09/12/2015 12:44,10
1391,10,1,09/12/2015 12:44,10
1298,10,1,09/12/2015 12:44,14
1300,10,1,09/12/2015 12:44,14
1238,12,1,09/12/2015 12:44,27
1238,12,1,09/12/2015 12:44,27
1238,10,1,09/12/2015 12:44,11
1400,10,1,09/12/2015 12:44,11
1238,10,1,09/12/2015 12:44,11
1238,12,1,09/12/2015 12:44,13
1391,12,1,09/12/2015 12:44,13
1298,12,1,09/12/2015 12:44,13
1300,6,1,11/12/2015 16:21,1
1300,6,1,11/12/2015 16:21,1
1238,6,1,11/12/2015 16:21,1
1298,8,1,11/12/2015 16:21,1
1237,8,1,11/12/2015 16:21,1
1300,8,1,11/12/2015 16:21,1
1239,10,1,11/12/2015 16:21,1
1298,8,1,11/12/2015 16:21,1
1239,10,1,11/12/2015 16:21,23
1391,8,1,11/12/2015 16:21,23
1238,10,1,11/12/2015 16:21,23
1239,10,1,11/12/2015 16:21,30
1239,10,1,11/12/2015 16:21,30
1300,6,1,11/12/2015 16:21,3
1298,6,1,11/12/2015 16:21,3
