INSERT INTO `Exercise_Log` (`Account_No`,`Reps`,`Sets`,`Time`,`Exercise_ID`) VALUES
    (1391,8,1,"2015-11-04 19:21:19",18),
    (1697,8,1,"2015-11-04 19:21:19",18),
    (1239,8,1,"2015-11-04 19:21:19",18),
    (1239,12,1,"2015-11-04 19:21:19",2),
    (1239,10,1,"2015-11-04 19:21:19",2),
    (1239,8,1,"2015-11-04 19:21:19",1),
    (1300,5,1,"2015-11-04 19:21:19",1),
    (1298,8,1,"2015-11-04 19:21:19",1),
    (1239,8,1,"2015-11-04 19:21:19",1),
    (1238,8,1,"2015-11-04 19:21:19",1),
    (1239,7,1,"2015-11-04 19:21:19",1),
    (1401,10,1,"2015-11-04 19:21:19",19),
    (1391,8,1,"2015-11-04 19:21:19",19),
    (1298,8,1,"2015-11-04 19:21:19",19),
    (1237,8,1,"2015-11-04 19:21:19",19),
    (1300,12,1,"2015-11-04 19:21:19",2),
    (1235,10,1,"2015-11-04 19:21:19",2),
    (1298,8,1,"2015-11-06 16:48:14",10),
    (1400,9,1,"2015-11-06 16:48:14",10),
    (1239,8,1,"2015-11-06 16:48:14",10),
    (1239,11,1,"2015-11-06 16:48:14",14),
    (1298,9,1,"2015-11-06 16:48:14",14),
    (1298,8,1,"2015-11-06 16:48:14",14),
    (1238,12,1,"2015-11-06 16:48:14",11),
    (1298,12,1,"2015-11-06 16:48:14",11),
    (1238,12,1,"2015-11-06 16:48:14",11),
    (1401,15,1,"2015-11-06 16:48:14",13),
    (1400,15,1,"2015-11-06 16:48:14",13),
    (1200,12,1,"2015-11-06 16:48:14",13),
    (1298,10,1,"2015-11-06 16:48:14",13),
    (1391,8,1,"2015-11-06 16:48:14",10),
    (1391,9,1,"2015-11-06 16:48:14",10),
    (1300,8,1,"2015-11-06 16:48:14",10),
    (1298,11,1,"2015-11-06 16:48:14",12),
    (1391,9,1,"2015-11-06 16:48:14",12),
    (1239,8,1,"2015-11-06 16:48:14",12),
    (1300,12,1,"2015-11-06 16:48:14",11),
    (1298,12,1,"2015-11-06 16:48:14",11),
    (1239,12,1,"2015-11-06 16:48:14",11),
    (1235,15,1,"2015-11-06 16:48:14",13),
    (1298,15,1,"2015-11-06 16:48:14",13),
    (1300,12,1,"2015-11-06 16:48:14",13),
    (1239,10,1,"2015-11-06 16:48:14",13),
    (1237,8,1,"2015-11-08 12:37:21",3),
    (1237,7,1,"2015-11-08 12:37:21",3),
    (1238,8,1,"2015-11-08 12:37:21",3),
    (1391,8,1,"2015-11-08 12:37:21",3),
    (1300,8,1,"2015-11-08 12:37:21",3),
    (1391,10,1,"2015-11-08 12:37:21",18),
    (1298,10,1,"2015-11-08 12:37:21",18),
    (1298,10,1,"2015-11-08 12:37:21",18),
    (1298,10,1,"2015-11-08 12:37:21",2),
    (1300,14,1,"2015-11-08 12:37:21",2),
    (1239,8,1,"2015-11-08 12:37:21",1),
    (1298,7,1,"2015-11-08 12:37:21",1),
    (1298,8,1,"2015-11-08 12:37:21",1),
    (1237,8,1,"2015-11-08 12:37:21",1),
    (1298,8,1,"2015-11-08 12:37:21",1),
    (1391,10,1,"2015-11-08 12:37:21",19),
    (1239,10,1,"2015-11-08 12:37:21",19),
    (1400,10,1,"2015-11-08 12:37:21",19),
    (1298,10,1,"2015-11-08 12:37:21",2),
    (1391,14,1,"2015-11-08 12:37:21",2),
    (1238,8,1,"2015-11-08 17:45:26",4),
    (1400,8,1,"2015-11-08 17:45:26",4),
    (1238,8,1,"2015-11-08 17:45:26",4),
    (1238,8,1,"2015-11-08 17:45:26",4),
    (1400,8,1,"2015-11-08 17:45:26",4),
    (1239,8,1,"2015-11-08 17:45:26",4),
    (1238,10,1,"2015-11-08 17:45:26",17),
    (1300,10,1,"2015-11-08 17:45:26",17),
    (1239,10,1,"2015-11-08 17:45:26",5),
    (1298,10,1,"2015-11-08 17:45:26",5),
    (1391,10,1,"2015-11-08 17:45:26",5),
    (1400,15,1,"2015-11-08 17:45:26",20),
    (1239,15,1,"2015-11-08 17:45:26",20),
    (1300,15,1,"2015-11-08 17:45:26",20),
    (1239,8,1,"2015-11-08 17:45:26",7),
    (1239,8,1,"2015-11-08 17:45:26",7),
    (1400,8,1,"2015-11-08 17:45:26",7),
    (1239,8,1,"2015-11-08 17:45:26",7),
    (1300,8,1,"2015-11-08 17:45:26",7),
    (1400,8,1,"2015-11-08 17:45:26",7),
    (1400,10,1,"2015-11-08 17:45:26",17),
    (1298,10,1,"2015-11-08 17:45:26",17),
    (1401,10,1,"2015-11-08 17:45:26",8),
    (1391,10,1,"2015-11-08 17:45:26",8),
    (1298,10,1,"2015-11-08 17:45:26",8),
    (1235,15,1,"2015-11-08 17:45:26",20),
    (1300,15,1,"2015-11-08 17:45:26",20),
    (1401,15,1,"2015-11-08 17:45:26",20),
    (1239,8,1,"2015-11-10 17:10:12",10),
    (1239,8,1,"2015-11-10 17:10:12",10),
    (1239,8,1,"2015-11-10 17:10:12",10),
    (1239,12,1,"2015-11-10 17:10:12",10),
    (1237,12,1,"2015-11-10 17:10:12",13),
    (1298,10,1,"2015-11-10 17:10:12",13),
    (1298,14,1,"2015-11-10 17:10:12",13),
    (1239,12,1,"2015-11-10 17:10:12",14),
    (1239,10,1,"2015-11-10 17:10:12",14),
    (1391,10,1,"2015-11-10 17:10:12",14),
    (1391,12,1,"2015-11-10 17:10:12",14),
    (1298,15,1,"2015-11-10 17:10:12",15),
    (1300,15,1,"2015-11-10 17:10:12",15),
    (1391,8,1,"2015-11-10 17:10:12",10),
    (1300,8,1,"2015-11-10 17:10:12",10),
    (1239,8,1,"2015-11-10 17:10:12",10),
    (1400,12,1,"2015-11-10 17:10:12",10),
    (1237,12,1,"2015-11-10 17:10:12",13),
    (1401,10,1,"2015-11-10 17:10:12",13),
    (1237,14,1,"2015-11-10 17:10:12",13),
    (1300,12,1,"2015-11-10 17:10:12",12),
    (1391,10,1,"2015-11-10 17:10:12",12),
    (1239,10,1,"2015-11-10 17:10:12",12),
    (1300,12,1,"2015-11-10 17:10:12",12),
    (1239,15,1,"2015-11-10 17:10:12",16),
    (1235,15,1,"2015-11-10 17:10:12",16),
    (1300,10,1,"2015-11-12 18:24:01",21),
    (1300,10,1,"2015-11-12 18:24:01",21),
    (1239,10,1,"2015-11-12 18:24:01",21),
    (1400,10,1,"2015-11-12 18:24:01",21),
    (1400,10,1,"2015-11-12 18:24:01",21),
    (1300,10,1,"2015-11-12 18:24:01",21),
    (1237,12,1,"2015-11-12 18:24:01",22),
    (1391,15,1,"2015-11-12 18:24:01",22),
    (1400,10,1,"2015-11-12 18:24:01",2),
    (1391,10,1,"2015-11-12 18:24:01",2),
    (1239,10,1,"2015-11-12 18:24:01",2),
    (1235,10,1,"2015-11-12 18:24:01",2),
    (1300,10,1,"2015-11-12 18:24:01",2),
    (1391,10,1,"2015-11-12 18:24:01",23),
    (1300,10,1,"2015-11-12 18:24:01",23),
    (1298,10,1,"2015-11-12 18:24:01",23),
    (1239,10,1,"2015-11-12 18:24:01",23),
    (1298,10,1,"2015-11-12 18:24:01",23),
    (1298,10,1,"2015-11-12 18:24:01",23),
    (1239,12,1,"2015-11-12 18:24:01",24),
    (1401,15,1,"2015-11-12 18:24:01",24),
    (1300,10,1,"2015-11-12 18:24:01",2),
    (1239,10,1,"2015-11-12 18:24:01",2),
    (1200,10,1,"2015-11-12 18:24:01",2),
    (1300,10,1,"2015-11-12 18:24:01",2),
    (1697,10,1,"2015-11-12 18:24:01",2),
    (1239,6,1,"2015-11-15 11:30:55",7),
    (1400,8,1,"2015-11-15 11:30:55",7),
    (1400,8,1,"2015-11-15 11:30:55",7),
    (1300,8,1,"2015-11-15 11:30:55",7),
    (1237,8,1,"2015-11-15 11:30:55",7),
    (1391,8,1,"2015-11-15 11:30:55",7),
    (1298,8,1,"2015-11-15 11:30:55",7),
    (1391,8,1,"2015-11-15 11:30:55",7),
    (1300,12,1,"2015-11-15 11:30:55",8),
    (1300,12,1,"2015-11-15 11:30:55",8),
    (1391,12,1,"2015-11-15 11:30:55",8),
    (1298,6,1,"2015-11-15 11:30:55",4),
    (1239,8,1,"2015-11-15 11:30:55",4),
    (1239,8,1,"2015-11-15 11:30:55",4),
    (1298,8,1,"2015-11-15 11:30:55",4),
    (1391,8,1,"2015-11-15 11:30:55",4),
    (1300,8,1,"2015-11-15 11:30:55",4),
    (1239,8,1,"2015-11-15 11:30:55",4),
    (1298,8,1,"2015-11-15 11:30:55",4),
    (1239,12,1,"2015-11-15 11:30:55",5),
    (1300,12,1,"2015-11-15 11:30:55",5),
    (1298,12,1,"2015-11-15 11:30:55",5),
    (1391,10,1,"2015-11-16 18:10:32",10),
    (1238,8,1,"2015-11-16 18:10:32",10),
    (1300,9,1,"2015-11-16 18:10:32",10),
    (1400,12,1,"2015-11-16 18:10:32",10),
    (1239,8,1,"2015-11-16 18:10:32",10),
    (1391,10,1,"2015-11-16 18:10:32",12),
    (1300,10,1,"2015-11-16 18:10:32",12),
    (1300,8,1,"2015-11-16 18:10:32",12),
    (1239,13,1,"2015-11-16 18:10:32",25),
    (1300,15,1,"2015-11-16 18:10:32",25),
    (1298,12,1,"2015-11-16 18:10:32",26),
    (1238,10,1,"2015-11-16 18:10:32",26),
    (1298,10,1,"2015-11-16 18:10:32",26),
    (1239,12,1,"2015-11-16 18:10:32",26),
    (1400,10,1,"2015-11-16 18:10:32",10),
    (1200,8,1,"2015-11-16 18:10:32",10),
    (1300,9,1,"2015-11-16 18:10:32",10),
    (1300,12,1,"2015-11-16 18:10:32",10),
    (1235,8,1,"2015-11-16 18:10:32",10),
    (1391,10,1,"2015-11-16 18:10:32",14),
    (1235,10,1,"2015-11-16 18:10:32",14),
    (1300,8,1,"2015-11-16 18:10:32",14),
    (1298,13,1,"2015-11-16 18:10:32",27),
    (1300,15,1,"2015-11-16 18:10:32",27),
    (1238,12,1,"2015-11-16 18:10:32",26),
    (1239,10,1,"2015-11-16 18:10:32",26),
    (1391,10,1,"2015-11-16 18:10:32",26),
    (1298,12,1,"2015-11-16 18:10:32",26),
    (1300,8,1,"2015-11-18 17:33:57",1),
    (1401,8,1,"2015-11-18 17:33:57",1),
    (1300,8,1,"2015-11-18 17:33:57",1),
    (1300,8,1,"2015-11-18 17:33:57",1),
    (1298,8,1,"2015-11-18 17:33:57",1),
    (1238,11,1,"2015-11-18 17:33:57",28),
    (1200,10,1,"2015-11-18 17:33:57",2),
    (1401,14,1,"2015-11-18 17:33:57",2),
    (1391,12,1,"2015-11-18 17:33:57",2),
    (1238,12,1,"2015-11-18 17:33:57",2),
    (1300,12,1,"2015-11-18 17:33:57",24),
    (1391,12,1,"2015-11-18 17:33:57",24),
    (1238,12,1,"2015-11-18 17:33:57",24),
    (1298,15,1,"2015-11-18 17:33:57",29),
    (1298,15,1,"2015-11-18 17:33:57",29),
    (1400,8,1,"2015-11-18 17:33:57",3),
    (1298,8,1,"2015-11-18 17:33:57",3),
    (1239,8,1,"2015-11-18 17:33:57",3),
    (1298,8,1,"2015-11-18 17:33:57",3),
    (1237,8,1,"2015-11-18 17:33:57",3),
    (1235,11,1,"2015-11-18 17:33:57",28),
    (1298,10,1,"2015-11-18 17:33:57",2),
    (1239,14,1,"2015-11-18 17:33:57",2),
    (1391,12,1,"2015-11-18 17:33:57",2),
    (1400,12,1,"2015-11-18 17:33:57",2),
    (1238,12,1,"2015-11-18 17:33:57",22),
    (1238,12,1,"2015-11-18 17:33:57",22),
    (1238,12,1,"2015-11-18 17:33:57",22),
    (1238,15,1,"2015-11-18 17:33:57",29),
    (1300,15,1,"2015-11-18 17:33:57",29),
    (1238,12,1,"2015-11-21 18:32:29",10),
    (1239,12,1,"2015-11-21 18:32:29",10),
    (1237,12,1,"2015-11-21 18:32:29",10),
    (1298,12,1,"2015-11-21 18:32:29",10),
    (1239,16,1,"2015-11-21 18:32:29",14),
    (1300,22,1,"2015-11-21 18:32:29",14),
    (1298,12,1,"2015-11-21 18:32:29",14),
    (1400,12,1,"2015-11-21 18:32:29",14),
    (1400,13,1,"2015-11-21 18:32:29",27),
    (1239,12,1,"2015-11-21 18:32:29",27),
    (1298,12,1,"2015-11-21 18:32:29",27),
    (1300,15,1,"2015-11-21 18:32:29",13),
    (1300,15,1,"2015-11-21 18:32:29",13),
    (1238,15,1,"2015-11-21 18:32:29",13),
    (1238,12,1,"2015-11-21 18:32:29",10),
    (1298,12,1,"2015-11-21 18:32:29",10),
    (1239,12,1,"2015-11-21 18:32:29",10),
    (1300,12,1,"2015-11-21 18:32:29",10),
    (1298,16,1,"2015-11-21 18:32:29",12),
    (1401,22,1,"2015-11-21 18:32:29",12),
    (1300,12,1,"2015-11-21 18:32:29",12),
    (1237,12,1,"2015-11-21 18:32:29",12),
    (1298,13,1,"2015-11-21 18:32:29",25),
    (1391,12,1,"2015-11-21 18:32:29",25),
    (1298,12,1,"2015-11-21 18:32:29",25),
    (1298,15,1,"2015-11-21 18:32:29",13),
    (1237,15,1,"2015-11-21 18:32:29",13),
    (1235,15,1,"2015-11-21 18:32:29",13),
    (1238,10,1,"2015-11-24 16:45:06",23),
    (1300,12,1,"2015-11-24 16:45:06",23),
    (1239,12,1,"2015-11-24 16:45:06",23),
    (1300,10,1,"2015-11-24 16:45:06",23),
    (1239,10,1,"2015-11-24 16:45:06",2),
    (1239,10,1,"2015-11-24 16:45:06",2),
    (1391,10,1,"2015-11-24 16:45:06",2),
    (1200,10,1,"2015-11-24 16:45:06",2),
    (1300,10,1,"2015-11-24 16:45:06",2),
    (1298,8,1,"2015-11-24 16:45:06",2),
    (1391,10,1,"2015-11-24 16:45:06",19),
    (1235,12,1,"2015-11-24 16:45:06",19),
    (1300,10,1,"2015-11-24 16:45:06",1),
    (1238,10,1,"2015-11-24 16:45:06",21),
    (1237,12,1,"2015-11-24 16:45:06",21),
    (1391,12,1,"2015-11-24 16:45:06",21),
    (1239,10,1,"2015-11-24 16:45:06",21),
    (1298,10,1,"2015-11-24 16:45:06",2),
    (1300,10,1,"2015-11-24 16:45:06",2),
    (1298,10,1,"2015-11-24 16:45:06",2),
    (1391,10,1,"2015-11-24 16:45:06",2),
    (1300,10,1,"2015-11-24 16:45:06",2),
    (1235,8,1,"2015-11-24 16:45:06",2),
    (1237,10,1,"2015-11-24 16:45:06",18),
    (1298,12,1,"2015-11-24 16:45:06",18),
    (1238,10,1,"2015-11-24 16:45:06",3),
    (1239,8,1,"2015-11-25 18:53:35",7),
    (1238,8,1,"2015-11-25 18:53:35",7),
    (1391,8,1,"2015-11-25 18:53:35",7),
    (1239,8,1,"2015-11-25 18:53:35",7),
    (1237,8,1,"2015-11-25 18:53:35",7),
    (1300,9,1,"2015-11-25 18:53:35",7),
    (1237,8,1,"2015-11-25 18:53:35",7),
    (1400,8,1,"2015-11-25 18:53:35",7),
    (1400,8,1,"2015-11-25 18:53:35",4),
    (1298,8,1,"2015-11-25 18:53:35",4),
    (1300,8,1,"2015-11-25 18:53:35",4),
    (1400,8,1,"2015-11-25 18:53:35",4),
    (1237,8,1,"2015-11-25 18:53:35",4),
    (1237,9,1,"2015-11-25 18:53:35",4),
    (1235,8,1,"2015-11-25 18:53:35",4),
    (1298,8,1,"2015-11-25 18:53:35",4),
    (1300,8,1,"2015-11-26 11:43:16",10),
    (1237,8,1,"2015-11-26 11:43:16",10),
    (1391,8,1,"2015-11-26 11:43:16",10),
    (1239,10,1,"2015-11-26 11:43:16",10),
    (1235,10,1,"2015-11-26 11:43:16",10),
    (1239,10,1,"2015-11-26 11:43:16",14),
    (1391,10,1,"2015-11-26 11:43:16",14),
    (1235,10,1,"2015-11-26 11:43:16",14),
    (1300,10,1,"2015-11-26 11:43:16",14),
    (1239,10,1,"2015-11-26 11:43:16",14),
    (1239,10,1,"2015-11-26 11:43:16",13),
    (1300,10,1,"2015-11-26 11:43:16",13),
    (1298,10,1,"2015-11-26 11:43:16",11),
    (1298,10,1,"2015-11-26 11:43:16",11),
    (1298,8,1,"2015-11-26 11:43:16",10),
    (1239,8,1,"2015-11-26 11:43:16",10),
    (1238,8,1,"2015-11-26 11:43:16",10),
    (1237,10,1,"2015-11-26 11:43:16",10),
    (1298,10,1,"2015-11-26 11:43:16",10),
    (1239,10,1,"2015-11-26 11:43:16",12),
    (1239,10,1,"2015-11-26 11:43:16",12),
    (1391,10,1,"2015-11-26 11:43:16",12),
    (1239,10,1,"2015-11-26 11:43:16",12),
    (1400,10,1,"2015-11-26 11:43:16",12),
    (1298,10,1,"2015-11-26 11:43:16",13),
    (1237,10,1,"2015-11-26 11:43:16",13),
    (1400,10,1,"2015-11-26 11:43:16",11),
    (1298,10,1,"2015-11-26 11:43:16",11),
    (1298,8,1,"2015-11-28 16:28:30",3),
    (1697,8,1,"2015-11-28 16:28:30",3),
    (1300,7,1,"2015-11-28 16:28:30",3),
    (1391,8,1,"2015-11-28 16:28:30",3),
    (1239,8,1,"2015-11-28 16:28:30",3),
    (1391,8,1,"2015-11-28 16:28:30",3),
    (1298,8,1,"2015-11-28 16:28:30",3),
    (1298,12,1,"2015-11-28 16:28:30",2),
    (1239,12,1,"2015-11-28 16:28:30",2),
    (1238,12,1,"2015-11-28 16:28:30",2),
    (1239,12,1,"2015-11-28 16:28:30",2),
    (1238,12,1,"2015-11-28 16:28:30",22),
    (1235,12,1,"2015-11-28 16:28:30",22),
    (1298,12,1,"2015-11-28 16:28:30",22),
    (1298,10,1,"2015-11-28 16:28:30",30),
    (1238,10,1,"2015-11-28 16:28:30",30),
    (1239,8,1,"2015-11-28 16:28:30",1),
    (1298,8,1,"2015-11-28 16:28:30",1),
    (1300,7,1,"2015-11-28 16:28:30",1),
    (1298,8,1,"2015-11-28 16:28:30",1),
    (1391,8,1,"2015-11-28 16:28:30",1),
    (1400,8,1,"2015-11-28 16:28:30",1),
    (1300,8,1,"2015-11-28 16:28:30",1),
    (1238,12,1,"2015-11-28 16:28:30",2),
    (1697,12,1,"2015-11-28 16:28:30",2),
    (1239,12,1,"2015-11-28 16:28:30",2),
    (1238,12,1,"2015-11-28 16:28:30",2),
    (1300,12,1,"2015-11-28 16:28:30",24),
    (1298,12,1,"2015-11-28 16:28:30",24),
    (1238,12,1,"2015-11-28 16:28:30",24),
    (1298,10,1,"2015-11-28 16:28:30",30),
    (1391,10,1,"2015-11-28 16:28:30",30),
    (1239,12,1,"2015-11-30 14:23:13",10),
    (1298,12,1,"2015-11-30 14:23:13",10),
    (1391,12,1,"2015-11-30 14:23:13",10),
    (1298,12,1,"2015-11-30 14:23:13",10),
    (1300,8,1,"2015-11-30 14:23:13",10),
    (1239,10,1,"2015-11-30 14:23:13",14),
    (1400,10,1,"2015-11-30 14:23:13",14),
    (1238,10,1,"2015-11-30 14:23:13",14),
    (1239,10,1,"2015-11-30 14:23:13",14),
    (1298,13,1,"2015-11-30 14:23:13",13),
    (1300,14,1,"2015-11-30 14:23:13",13),
    (1239,12,1,"2015-11-30 14:23:13",13),
    (1237,12,1,"2015-11-30 14:23:13",27),
    (1239,12,1,"2015-11-30 14:23:13",27),
    (1400,12,1,"2015-11-30 14:23:13",10),
    (1298,12,1,"2015-11-30 14:23:13",10),
    (1391,12,1,"2015-11-30 14:23:13",10),
    (1298,12,1,"2015-11-30 14:23:13",10),
    (1400,8,1,"2015-11-30 14:23:13",10),
    (1237,10,1,"2015-11-30 14:23:13",12),
    (1237,10,1,"2015-11-30 14:23:13",12),
    (1237,10,1,"2015-11-30 14:23:13",12),
    (1300,10,1,"2015-11-30 14:23:13",12),
    (1298,13,1,"2015-11-30 14:23:13",13),
    (1239,14,1,"2015-11-30 14:23:13",13),
    (1239,12,1,"2015-11-30 14:23:13",13),
    (1391,12,1,"2015-11-30 14:23:13",25),
    (1400,12,1,"2015-11-30 14:23:13",25),
    (1400,8,1,"2015-12-02 17:13:03",3),
    (1238,5,1,"2015-12-02 17:13:03",3),
